50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
5.95,10.57,15.3,18.42,20.61,4.62,4.73,5.31,2.19,9.35,10.04
,10.67,,,20.61,,,,,,9.94
6.02,10.65,15.46,18.51,20.61,4.63,4.81,5.15,2.1,9.44,9.96
5.87,10.5,15.4,18.49,20.61,4.63,4.9,5.21,2.12,9.53,10.11
5.93,10.61,15.39,18.47,20.61,4.68,4.78,5.22,2.14,9.46,10
5.9,10.5,15.4,18.49,20.61,4.6,4.9,5.21,2.12,9.5,10.11
5.92,10.56,15.39,18.48,20.61,4.64,4.83,5.22,2.13,9.47,10.05
6,10.6,15.4,18.48,20.61,4.6,4.8,5.21,2.13,9.4,10.01
6.01,10.72,15.55,18.56,20.61,4.71,4.83,5.06,2.05,9.54,9.89
5.8,10.5,15.3,18.42,20.61,4.7,4.8,5.31,2.19,9.5,10.11
5.85,10.61,15.47,18.52,20.61,4.76,4.86,5.14,2.09,9.62,10
5.99,10.74,15.53,18.54,20.61,4.75,4.79,5.08,2.07,9.54,9.87
5.87,10.57,15.44,18.51,20.61,4.7,4.87,5.17,2.1,9.57,10.04
5.92,10.56,15.39,18.48,20.62,4.64,4.83,5.23,2.14,9.47,10.06
6.14,10.75,15.51,18.53,20.62,4.61,4.76,5.11,2.09,9.37,9.87
5.88,10.38,15.3,18.44,20.62,4.5,4.92,5.32,2.18,9.42,10.24
5.81,10.46,15.36,18.47,20.62,4.65,4.9,5.26,2.15,9.55,10.16
5.83,10.42,15.3,18.44,20.62,4.59,4.88,5.32,2.18,9.47,10.2
5.87,10.48,15.4,18.5,20.62,4.61,4.92,5.22,2.12,9.53,10.14
5.87,10.53,15.43,18.51,20.62,4.66,4.9,5.19,2.11,9.56,10.09
5.86,10.54,15.43,18.51,20.62,4.68,4.89,5.19,2.11,9.57,10.08
5.7,10.3,15.13,18.34,20.62,4.6,4.83,5.49,2.28,9.43,10.32
5.85,10.47,15.35,18.47,20.62,4.62,4.88,5.27,2.15,9.5,10.15
5.87,10.5,15.31,18.44,20.62,4.63,4.81,5.31,2.18,9.44,10.12
5.82,10.46,15.31,18.44,20.62,4.64,4.85,5.31,2.18,9.49,10.16
6.1,10.71,15.46,18.51,20.62,4.61,4.75,5.16,2.11,9.36,9.91
6.09,10.75,15.5,18.53,20.62,4.66,4.75,5.12,2.09,9.41,9.87
,10.45,15.38,18.49,20.63,,4.93,5.25,2.14,,10.18
,10.47,15.28,18.43,20.63,,4.81,5.35,2.2,,10.16
5.92,10.58,15.35,18.46,20.63,4.66,4.77,5.28,2.17,9.43,10.05
5.91,10.65,15.47,18.53,20.63,4.74,4.82,5.16,2.1,9.56,9.98
5.89,10.56,15.47,18.54,20.63,4.67,4.91,5.16,2.09,9.58,10.07
,10.7,,,20.63,,,,,,9.93
,10.57,,,20.63,,,,,,10.06
5.76,10.37,15.3,18.45,20.63,4.61,4.93,5.33,2.18,9.54,10.26
5.87,10.62,15.5,18.55,20.63,4.75,4.88,5.13,2.08,9.63,10.01
,10.6,,,20.63,,,,,,10.03
5.88,10.63,15.51,18.55,20.63,4.75,4.88,5.12,2.08,9.63,10
5.91,10.6,15.44,18.51,20.63,4.69,4.84,5.19,2.12,9.53,10.03
5.9,10.54,15.42,18.51,20.63,4.64,4.88,5.21,2.12,9.52,10.09
,10.44,15.31,18.45,20.63,,4.87,5.32,2.18,,10.19
,10.61,,,20.64,,,,,,10.03
5.93,10.54,15.37,18.48,20.64,4.61,4.83,5.27,2.16,9.44,10.1
6.01,10.51,15.37,18.48,20.64,4.5,4.86,5.27,2.16,9.36,10.13
5.92,10.59,15.35,18.46,20.64,4.67,4.76,5.29,2.18,9.43,10.05
6.02,10.82,15.58,18.58,20.64,4.8,4.76,5.06,2.06,9.56,9.82
5.91,10.53,15.44,18.53,20.64,4.62,4.91,5.2,2.11,9.53,10.11
5.97,10.65,15.57,18.59,20.64,4.68,4.92,5.07,2.05,9.6,9.99
,10.51,,,20.64,,,,,,10.13
,10.78,15.55,18.57,20.64,,4.77,5.09,2.07,,9.86
5.88,10.53,15.36,18.47,20.64,4.65,4.83,5.28,2.17,9.48,10.11
,10.77,,,20.64,,,,,,9.87
5.83,10.57,15.41,18.5,20.64,4.74,4.84,5.23,2.14,9.58,10.07
5.97,10.57,15.44,18.52,20.64,4.6,4.87,5.2,2.12,9.47,10.07
,10.84,15.6,18.6,20.65,,4.76,5.05,2.05,,9.81
,10.54,,,20.65,,,,,,10.11
,10.43,,,20.65,,,,,,10.22
5.86,10.48,15.37,18.49,20.65,4.62,4.89,5.28,2.16,9.51,10.17
5.88,10.63,15.4,18.49,20.65,4.75,4.77,5.25,2.16,9.52,10.02
5.94,10.62,15.58,18.61,20.65,4.68,4.96,5.07,2.04,9.64,10.03
,10.69,,,20.65,,,,,,9.96
5.97,10.74,15.59,18.6,20.65,4.77,4.85,5.06,2.05,9.62,9.91
5.89,10.55,15.43,18.52,20.65,4.66,4.88,5.22,2.13,9.54,10.1
5.88,10.6,15.47,18.54,20.65,4.72,4.87,5.18,2.11,9.59,10.05
5.86,10.56,15.44,18.53,20.65,4.7,4.88,5.21,2.12,9.58,10.09
,10.66,,,20.65,,,,,,9.99
,10.79,,,20.65,,,,,,9.86
5.8,10.4,15.3,18.46,20.65,4.6,4.9,5.35,2.19,9.5,10.25
5.93,10.54,15.45,18.54,20.65,4.61,4.91,5.2,2.11,9.52,10.11
5.88,10.5,15.37,18.49,20.65,4.62,4.87,5.28,2.16,9.49,10.15
,10.52,,,20.65,,,,,,10.13
,10.62,,,20.65,,,,,,10.03
5.96,10.65,15.5,18.55,20.65,4.69,4.85,5.15,2.1,9.54,10
5.94,10.58,15.48,18.55,20.65,4.64,4.9,5.17,2.1,9.54,10.07
,10.44,,,20.66,,,,,,10.22
,10.61,15.43,18.52,20.66,,4.82,5.23,2.14,,10.05
5.91,10.53,15.4,18.51,20.66,4.62,4.87,5.26,2.15,9.49,10.13
5.91,10.64,15.46,18.53,20.66,4.73,4.82,5.2,2.13,9.55,10.02
6.01,10.73,15.48,18.54,20.66,4.72,4.75,5.18,2.12,9.47,9.93
5.89,10.57,15.48,18.56,20.66,4.68,4.91,5.18,2.1,9.59,10.09
5.99,10.57,15.43,18.52,20.66,4.58,4.86,5.23,2.14,9.44,10.09
6.1,10.73,15.55,18.58,20.66,4.63,4.82,5.11,2.08,9.45,9.93
6.04,10.73,15.55,18.58,20.66,4.69,4.82,5.11,2.08,9.51,9.93
6.02,10.72,15.63,18.63,20.66,4.7,4.91,5.03,2.03,9.61,9.94
5.89,10.56,15.47,18.55,20.66,4.67,4.91,5.19,2.11,9.58,10.1
,10.46,15.29,18.45,20.66,,4.83,5.37,2.21,,10.2
,10.6,15.47,18.55,20.66,,4.87,5.19,2.11,,10.06
6,10.58,15.5,18.57,20.66,4.58,4.92,5.16,2.09,9.5,10.08
,10.67,,,20.66,,,,,,9.99
5.86,10.48,15.39,18.51,20.66,4.62,4.91,5.27,2.15,9.53,10.18
,10.77,,,20.66,,,,,,9.89
5.93,10.59,15.46,18.54,20.66,4.66,4.87,5.2,2.12,9.53,10.07
6.02,10.75,15.6,18.61,20.66,4.73,4.85,5.06,2.05,9.58,9.91
5.97,10.74,15.62,18.62,20.66,4.77,4.88,5.04,2.04,9.65,9.92
,10.4,,,20.67,,,,,,10.27
6.04,10.63,15.45,18.53,20.67,4.59,4.82,5.22,2.14,9.41,10.04
,10.56,15.45,18.54,20.67,,4.89,5.22,2.13,,10.11
6.08,10.72,15.53,18.57,20.67,4.64,4.81,5.14,2.1,9.45,9.95
,10.61,,,20.67,,,,,,10.06
,10.49,,,20.67,,,,,,10.18
5.94,10.66,15.44,18.52,20.67,4.72,4.78,5.23,2.15,9.5,10.01
5.94,10.67,15.53,18.58,20.67,4.73,4.86,5.14,2.09,9.59,10
5.98,10.66,15.52,18.58,20.67,4.68,4.86,5.15,2.09,9.54,10.01
,10.47,,,20.67,,,,,,10.2
6.08,10.78,15.67,18.66,20.67,4.7,4.89,5,2.01,9.59,9.89
,10.92,,,20.67,,,,,,9.75
,10.76,,,20.67,,,,,,9.91
5.99,10.68,15.46,18.53,20.67,4.69,4.78,5.21,2.14,9.47,9.99
5.95,10.62,15.46,18.54,20.67,4.67,4.84,5.21,2.13,9.51,10.05
5.95,10.7,15.5,18.56,20.68,4.75,4.8,5.18,2.12,9.55,9.98
,10.5,,,20.68,,,,,,10.18
5.89,10.43,15.35,18.5,20.68,4.54,4.92,5.33,2.18,9.46,10.25
6.05,10.7,15.55,18.59,20.68,4.65,4.85,5.13,2.09,9.5,9.98
5.88,10.54,15.42,18.53,20.68,4.66,4.88,5.26,2.15,9.54,10.14
5.96,10.65,15.59,18.63,20.68,4.69,4.94,5.09,2.05,9.63,10.03
5.93,10.41,15.25,18.44,20.68,4.48,4.84,5.43,2.24,9.32,10.27
,10.68,15.51,18.57,20.68,,4.83,5.17,2.11,,10
5.93,10.58,15.45,18.54,20.68,4.65,4.87,5.23,2.14,9.52,10.1
5.86,10.46,15.36,18.5,20.68,4.6,4.9,5.32,2.18,9.5,10.22
6.1,10.8,15.6,18.61,20.68,4.7,4.8,5.08,2.07,9.5,9.88
,10.62,,,20.68,,,,,,10.06
5.95,10.66,15.46,18.54,20.68,4.71,4.8,5.22,2.14,9.51,10.02
5.84,10.64,15.4,18.51,20.68,4.8,4.76,5.28,2.17,9.56,10.04
5.94,10.78,15.56,18.59,20.68,4.84,4.78,5.12,2.09,9.62,9.9
,10.68,15.52,18.58,20.69,,4.84,5.17,2.11,,10.01
5.96,10.64,15.45,18.54,20.69,4.68,4.81,5.24,2.15,9.49,10.05
,10.56,15.41,18.53,20.69,,4.85,5.28,2.16,,10.13
5.94,10.94,15.45,18.51,20.69,5,4.51,5.24,2.18,9.51,9.75
5.91,10.51,15.38,18.51,20.69,4.6,4.87,5.31,2.18,9.47,10.18
5.95,10.65,15.51,18.58,20.69,4.7,4.86,5.18,2.11,9.56,10.04
5.97,10.69,15.55,18.6,20.69,4.72,4.86,5.14,2.09,9.58,10
5.91,10.6,15.45,18.55,20.69,4.69,4.85,5.24,2.14,9.54,10.09
,10.77,,,20.69,,,,,,9.92
6.08,10.8,15.67,18.66,20.69,4.72,4.87,5.02,2.03,9.59,9.89
5.92,10.6,15.46,18.55,20.69,4.68,4.86,5.23,2.14,9.54,10.09
5.87,10.61,15.47,18.56,20.69,4.74,4.86,5.22,2.13,9.6,10.08
5.82,10.45,15.35,18.5,20.69,4.63,4.9,5.34,2.19,9.53,10.24
6.04,10.85,15.7,18.68,20.69,4.81,4.85,4.99,2.01,9.66,9.84
,10.69,,,20.69,,,,,,10
5.95,10.53,15.34,18.49,20.69,4.58,4.81,5.35,2.2,9.39,10.16
,10.8,,,20.7,,,,,,9.9
,10.31,,,20.7,,,,,,10.39
6.13,10.86,15.63,18.64,20.7,4.73,4.77,5.07,2.06,9.5,9.84
,10.89,,,20.7,,,,,,9.81
5.99,10.58,15.47,18.57,20.7,4.59,4.89,5.23,2.13,9.48,10.12
5.86,10.45,15.37,18.52,20.7,4.59,4.92,5.33,2.18,9.51,10.25
5.89,10.61,15.39,18.51,20.7,4.72,4.78,5.31,2.19,9.5,10.09
5.91,10.64,15.49,18.57,20.7,4.73,4.85,5.21,2.13,9.58,10.06
5.93,10.67,15.55,18.61,20.7,4.74,4.88,5.15,2.09,9.62,10.03
5.83,10.49,15.38,18.52,20.7,4.66,4.89,5.32,2.18,9.55,10.21
5.98,10.73,15.65,18.66,20.7,4.75,4.92,5.05,2.04,9.67,9.97
,10.58,,,20.71,,,,,,10.13
,10.51,,,20.71,,,,,,10.2
,10.53,15.41,18.54,20.71,,4.88,5.3,2.17,,10.18
6.02,10.69,15.7,18.71,20.71,4.67,5.01,5.01,2,9.68,10.02
6.09,10.84,15.61,18.63,20.71,4.75,4.77,5.1,2.08,9.52,9.87
6,10.65,15.45,18.55,20.71,4.65,4.8,5.26,2.16,9.45,10.06
5.94,10.59,15.44,18.55,20.71,4.65,4.85,5.27,2.16,9.5,10.12
,10.64,,,20.71,,,,,,10.07
5.94,10.63,15.39,18.51,20.71,4.69,4.76,5.32,2.2,9.45,10.08
5.84,10.48,15.35,18.51,20.71,4.64,4.87,5.36,2.2,9.51,10.23
5.78,10.39,15.24,18.45,20.71,4.61,4.85,5.47,2.26,9.46,10.32
5.93,10.64,15.49,18.58,20.71,4.71,4.85,5.22,2.13,9.56,10.07
6,10.5,15.4,18.54,20.71,4.5,4.9,5.31,2.17,9.4,10.21
,10.82,,,20.71,,,,,,9.89
,10.66,,,20.71,,,,,,10.05
5.84,10.54,15.43,18.56,20.72,4.7,4.89,5.29,2.16,9.59,10.18
5.95,10.63,15.54,18.62,20.72,4.68,4.91,5.18,2.1,9.59,10.09
5.95,10.69,15.58,18.63,20.72,4.74,4.89,5.14,2.09,9.63,10.03
5.86,10.56,15.48,18.59,20.72,4.7,4.92,5.24,2.13,9.62,10.16
5.89,10.59,15.53,18.61,20.72,4.7,4.94,5.19,2.11,9.64,10.13
5.91,10.63,15.47,18.57,20.72,4.72,4.84,5.25,2.15,9.56,10.09
6,10.7,15.6,18.65,20.72,4.7,4.9,5.12,2.07,9.6,10.02
5.94,10.58,15.45,18.56,20.72,4.64,4.87,5.27,2.16,9.51,10.14
,10.51,,,20.72,,,,,,10.21
,10.75,,,20.72,,,,,,9.97
,10.77,,,20.72,,,,,,9.95
6.03,10.8,15.61,18.64,20.72,4.77,4.81,5.11,2.08,9.58,9.92
5.86,10.52,15.46,18.58,20.72,4.66,4.94,5.26,2.14,9.6,10.2
5.93,10.55,15.39,18.53,20.72,4.62,4.84,5.33,2.19,9.46,10.17
5.93,10.57,15.49,18.59,20.72,4.64,4.92,5.23,2.13,9.56,10.15
,10.44,,,20.73,,,,,,10.29
,10.61,,,20.73,,,,,,10.12
6.09,10.78,15.58,18.63,20.73,4.69,4.8,5.15,2.1,9.49,9.95
5.86,10.47,15.41,18.56,20.73,4.61,4.94,5.32,2.17,9.55,10.26
5.99,10.67,15.41,18.53,20.73,4.68,4.74,5.32,2.2,9.42,10.06
5.91,10.56,15.38,18.53,20.73,4.65,4.82,5.35,2.2,9.47,10.17
6.01,10.73,15.56,18.62,20.73,4.72,4.83,5.17,2.11,9.55,10
5.95,10.7,15.55,18.62,20.73,4.75,4.85,5.18,2.11,9.6,10.03
5.89,10.65,15.55,18.62,20.73,4.76,4.9,5.18,2.11,9.66,10.08
,10.76,,,20.73,,,,,,9.97
,10.69,,,20.73,,,,,,10.04
5.96,10.78,15.57,18.62,20.73,4.82,4.79,5.16,2.11,9.61,9.95
5.91,10.62,15.54,18.62,20.73,4.71,4.92,5.19,2.11,9.63,10.11
,10.39,15.27,18.48,20.73,,4.88,5.46,2.25,,10.34
,10.72,15.72,18.73,20.74,,5,5.02,2.01,,10.02
,10.61,15.55,18.63,20.74,,4.94,5.19,2.11,,10.13
,10.71,,,20.74,,,,,,10.03
5.91,10.56,15.41,18.55,20.74,4.65,4.85,5.33,2.19,9.5,10.18
5.95,10.81,15.6,18.64,20.74,4.86,4.79,5.14,2.1,9.65,9.93
6.06,10.73,15.54,18.61,20.74,4.67,4.81,5.2,2.13,9.48,10.01
,10.51,,,20.74,,,,,,10.23
5.96,10.65,15.54,18.62,20.74,4.69,4.89,5.2,2.12,9.58,10.09
5.87,10.56,15.45,18.58,20.74,4.69,4.89,5.29,2.16,9.58,10.18
6,10.7,15.6,18.66,20.74,4.7,4.9,5.14,2.08,9.6,10.04
5.94,10.63,15.51,18.61,20.74,4.69,4.88,5.23,2.13,9.57,10.11
6.08,10.78,15.59,18.64,20.74,4.7,4.81,5.15,2.1,9.51,9.96
,10.5,,,20.75,,,,,,10.25
,10.45,,,20.75,,,,,,10.3
6.05,10.78,15.61,18.66,20.75,4.73,4.83,5.14,2.09,9.56,9.97
,10.71,15.55,18.63,20.75,,4.84,5.2,2.12,,10.04
,10.67,15.55,18.63,20.75,,4.88,5.2,2.12,,10.08
5.91,10.48,15.34,18.52,20.75,4.57,4.86,5.41,2.23,9.43,10.27
5.84,10.61,15.56,18.65,20.75,4.77,4.95,5.19,2.1,9.72,10.14
,10.79,15.68,18.7,20.75,,4.89,5.07,2.05,,9.96
5.81,10.49,15.41,18.56,20.75,4.68,4.92,5.34,2.19,9.6,10.26
5.91,10.58,15.49,18.6,20.75,4.67,4.91,5.26,2.15,9.58,10.17
5.82,10.49,15.42,18.57,20.75,4.67,4.93,5.33,2.18,9.6,10.26
5.8,10.4,15.34,18.53,20.75,4.6,4.94,5.41,2.22,9.54,10.35
6.1,10.9,15.8,18.76,20.75,4.8,4.9,4.95,1.99,9.7,9.85
5.9,10.6,15.6,18.67,20.75,4.7,5,5.15,2.08,9.7,10.15
5.85,10.48,15.42,18.57,20.75,4.63,4.94,5.33,2.18,9.57,10.27
,10.77,,,20.75,,,,,,9.98
,10.53,,,20.75,,,,,,10.22
5.89,10.5,15.39,18.55,20.75,4.61,4.89,5.36,2.2,9.5,10.25
5.94,10.61,15.51,18.61,20.75,4.67,4.9,5.24,2.14,9.57,10.14
6.05,10.67,15.54,18.63,20.76,4.62,4.87,5.22,2.13,9.49,10.09
6.12,10.86,15.56,18.62,20.76,4.74,4.7,5.2,2.14,9.44,9.9
6.05,10.75,15.62,18.67,20.76,4.7,4.87,5.14,2.09,9.57,10.01
5.83,10.45,15.37,18.55,20.76,4.62,4.92,5.39,2.21,9.54,10.31
5.92,10.59,15.5,18.61,20.76,4.67,4.91,5.26,2.15,9.58,10.17
5.86,10.53,15.49,18.61,20.76,4.67,4.96,5.27,2.15,9.63,10.23
5.88,10.54,15.42,18.57,20.76,4.66,4.88,5.34,2.19,9.54,10.22
5.7,10.4,15.4,18.57,20.76,4.7,5,5.36,2.19,9.7,10.36
6.07,10.78,15.65,18.69,20.76,4.71,4.87,5.11,2.07,9.58,9.98
6.01,10.71,15.6,18.66,20.76,4.7,4.89,5.16,2.1,9.59,10.05
5.85,10.65,15.55,18.64,20.76,4.8,4.9,5.21,2.12,9.7,10.11
5.96,10.61,15.53,18.64,20.77,4.65,4.92,5.24,2.13,9.57,10.16
5.93,10.53,15.42,18.57,20.77,4.6,4.89,5.35,2.2,9.49,10.24
5.88,10.57,15.46,18.6,20.77,4.69,4.89,5.31,2.17,9.58,10.2
5.83,10.57,15.47,18.6,20.77,4.74,4.9,5.3,2.17,9.64,10.2
5.89,10.55,15.43,18.58,20.77,4.66,4.88,5.34,2.19,9.54,10.22
5.8,10.4,15.27,18.49,20.77,4.6,4.87,5.5,2.28,9.47,10.37
,10.63,,,20.77,,,,,,10.14
5.97,10.71,15.61,18.67,20.77,4.74,4.9,5.16,2.1,9.64,10.06
,10.73,,,20.78,,,,,,10.05
,10.85,,,20.78,,,,,,9.93
,10.49,,,20.78,,,,,,10.29
5.83,10.42,15.36,18.55,20.78,4.59,4.94,5.42,2.23,9.53,10.36
6,10.75,15.59,18.66,20.78,4.75,4.84,5.19,2.12,9.59,10.03
5.9,10.55,15.49,18.62,20.78,4.65,4.94,5.29,2.16,9.59,10.23
,10.86,,,20.78,,,,,,9.92
5.93,10.61,15.53,18.64,20.78,4.68,4.92,5.25,2.14,9.6,10.17
5.92,10.6,15.49,18.62,20.78,4.68,4.89,5.29,2.16,9.57,10.18
,10.58,,,20.78,,,,,,10.2
,10.57,,,20.78,,,,,,10.21
5.86,10.57,15.51,18.63,20.78,4.71,4.94,5.27,2.15,9.65,10.21
5.8,10.48,15.44,18.6,20.78,4.68,4.96,5.34,2.18,9.64,10.3
5.92,10.66,15.58,18.67,20.78,4.74,4.92,5.2,2.11,9.66,10.12
,10.69,,,20.79,,,,,,10.1
5.9,10.58,15.5,18.63,20.79,4.68,4.92,5.29,2.16,9.6,10.21
5.91,10.6,15.55,18.66,20.79,4.69,4.95,5.24,2.13,9.64,10.19
5.86,10.49,15.44,18.6,20.79,4.63,4.95,5.35,2.19,9.58,10.3
5.96,10.69,15.57,18.66,20.79,4.73,4.88,5.22,2.13,9.61,10.1
,10.43,,,20.79,,,,,,10.36
5.99,10.59,15.45,18.6,20.79,4.6,4.86,5.34,2.19,9.46,10.2
6.03,10.75,15.59,18.67,20.79,4.72,4.84,5.2,2.12,9.56,10.04
,10.6,15.51,18.64,20.8,,4.91,5.29,2.16,,10.2
,10.71,,,20.8,,,,,,10.09
,10.57,,,20.8,,,,,,10.23
5.95,10.55,15.48,18.63,20.8,4.6,4.93,5.32,2.17,9.53,10.25
5.92,10.67,15.62,18.7,20.8,4.75,4.95,5.18,2.1,9.7,10.13
5.89,10.65,15.58,18.68,20.8,4.76,4.93,5.22,2.12,9.69,10.15
6.01,10.67,15.55,18.66,20.8,4.66,4.88,5.25,2.14,9.54,10.13
5.92,10.65,15.57,18.67,20.8,4.73,4.92,5.23,2.13,9.65,10.15
5.95,10.67,15.55,18.66,20.8,4.72,4.88,5.25,2.14,9.6,10.13
,10.74,,,20.8,,,,,,10.06
5.83,10.46,15.38,18.57,20.8,4.63,4.92,5.42,2.23,9.55,10.34
5.9,10.7,15.6,18.68,20.8,4.8,4.9,5.2,2.12,9.7,10.1
5.86,10.57,15.48,18.62,20.8,4.71,4.91,5.32,2.18,9.62,10.23
,10.54,,,20.8,,,,,,10.26
,10.69,,,20.8,,,,,,10.11
,10.88,,,20.8,,,,,,9.92
,10.7,15.52,18.64,20.81,,4.82,5.29,2.17,,10.11
,10.71,15.54,18.65,20.81,,4.83,5.27,2.16,,10.1
5.99,10.77,15.6,18.68,20.81,4.78,4.83,5.21,2.13,9.61,10.04
6.04,10.66,15.6,18.69,20.81,4.62,4.94,5.21,2.12,9.56,10.15
6.08,10.83,15.61,18.68,20.81,4.75,4.78,5.2,2.13,9.53,9.98
5.9,10.6,15.54,18.66,20.81,4.7,4.94,5.27,2.15,9.64,10.21
5.85,10.49,15.45,18.62,20.81,4.64,4.96,5.36,2.19,9.6,10.32
5.89,10.42,15.3,18.53,20.81,4.53,4.88,5.51,2.28,9.41,10.39
5.91,10.56,15.49,18.64,20.81,4.65,4.93,5.32,2.17,9.58,10.25
5.98,10.79,15.67,18.72,20.81,4.81,4.88,5.14,2.09,9.69,10.02
5.96,10.64,15.5,18.63,20.81,4.68,4.86,5.31,2.18,9.54,10.17
5.9,10.6,15.6,18.7,20.81,4.7,5,5.21,2.11,9.7,10.21
5.89,10.61,15.52,18.65,20.81,4.72,4.91,5.29,2.16,9.63,10.2
6.07,10.78,15.68,18.73,20.81,4.71,4.9,5.13,2.08,9.61,10.03
5.97,10.73,15.67,18.73,20.81,4.76,4.94,5.14,2.08,9.7,10.08
5.93,10.74,15.62,18.7,20.81,4.81,4.88,5.19,2.11,9.69,10.07
5.96,10.6,15.51,18.64,20.81,4.64,4.91,5.3,2.17,9.55,10.21
5.99,10.65,15.49,18.63,20.82,4.66,4.84,5.33,2.19,9.5,10.17
,10.84,15.65,18.71,20.82,,4.81,5.17,2.11,,9.98
5.92,10.76,15.59,18.68,20.82,4.84,4.83,5.23,2.14,9.67,10.06
5.83,10.47,15.45,18.63,20.82,4.64,4.98,5.37,2.19,9.62,10.35
5.88,10.61,15.42,18.59,20.82,4.73,4.81,5.4,2.23,9.54,10.21
5.88,10.61,15.55,18.67,20.82,4.73,4.94,5.27,2.15,9.67,10.21
5.49,10.68,15.58,18.68,20.82,5.19,4.9,5.24,2.14,10.09,10.14
,10.75,,,20.82,,,,,,10.07
5.99,10.74,15.66,18.73,20.82,4.75,4.92,5.16,2.09,9.67,10.08
,10.71,,,20.83,,,,,,10.12
6,10.77,15.63,18.71,20.83,4.77,4.86,5.2,2.12,9.63,10.06
6.08,10.78,15.65,18.72,20.83,4.7,4.87,5.18,2.11,9.57,10.05
,10.73,,,20.83,,,,,,10.1
5.8,10.49,15.5,18.66,20.83,4.69,5.01,5.33,2.17,9.7,10.34
,10.62,,,20.83,,,,,,10.21
5.84,10.48,15.39,18.59,20.83,4.64,4.91,5.44,2.24,9.55,10.35
,10.69,,,20.83,,,,,,10.14
5.9,10.7,15.6,18.7,20.83,4.8,4.9,5.23,2.13,9.7,10.13
,10.65,,,20.83,,,,,,10.18
5.92,10.7,15.6,18.7,20.83,4.78,4.9,5.23,2.13,9.68,10.13
6.07,10.76,15.62,18.7,20.83,4.69,4.86,5.21,2.13,9.55,10.07
5.85,10.53,15.46,18.63,20.83,4.68,4.93,5.37,2.2,9.61,10.3
6.1,10.9,15.8,18.8,20.83,4.8,4.9,5.03,2.03,9.7,9.93
6.06,10.81,15.65,18.72,20.84,4.75,4.84,5.19,2.12,9.59,10.03
6.08,10.71,15.55,18.67,20.84,4.63,4.84,5.29,2.17,9.47,10.13
5.87,10.64,15.6,18.71,20.84,4.77,4.96,5.24,2.13,9.73,10.2
5.93,10.62,15.58,18.7,20.84,4.69,4.96,5.26,2.14,9.65,10.22
5.98,10.56,15.56,18.69,20.84,4.58,5,5.28,2.15,9.58,10.28
5.89,10.55,15.55,18.69,20.84,4.66,5,5.29,2.15,9.66,10.29
5.58,10.84,15.69,18.74,20.84,5.26,4.85,5.15,2.1,10.11,10
5.93,10.62,15.54,18.67,20.84,4.69,4.92,5.3,2.17,9.61,10.22
5.96,10.71,15.59,18.7,20.84,4.75,4.88,5.25,2.14,9.63,10.13
5.91,10.55,15.42,18.61,20.84,4.64,4.87,5.42,2.23,9.51,10.29
5.95,10.61,15.53,18.67,20.84,4.66,4.92,5.31,2.17,9.58,10.23
5.98,10.71,15.64,18.73,20.84,4.73,4.93,5.2,2.11,9.66,10.13
,10.69,,,20.85,,,,,,10.16
6.02,10.76,15.63,18.72,20.85,4.74,4.87,5.22,2.13,9.61,10.09
5.96,10.7,15.61,18.71,20.85,4.74,4.91,5.24,2.14,9.65,10.15
5.85,10.57,15.54,18.69,20.85,4.72,4.97,5.31,2.16,9.69,10.28
6.04,10.73,15.61,18.71,20.85,4.69,4.88,5.24,2.14,9.57,10.12
5.91,10.62,15.57,18.7,20.85,4.71,4.95,5.28,2.15,9.66,10.23
5.93,10.64,15.56,18.69,20.85,4.71,4.92,5.29,2.16,9.63,10.21
5.92,10.58,15.44,18.62,20.86,4.66,4.86,5.42,2.24,9.52,10.28
5.89,10.56,15.46,18.64,20.86,4.67,4.9,5.4,2.22,9.57,10.3
6.08,10.73,15.61,18.72,20.86,4.65,4.88,5.25,2.14,9.53,10.13
6.04,10.77,15.52,18.65,20.86,4.73,4.75,5.34,2.21,9.48,10.09
6.07,10.79,15.65,18.73,20.86,4.72,4.86,5.21,2.13,9.58,10.07
5.85,10.62,15.5,18.66,20.86,4.77,4.88,5.36,2.2,9.65,10.24
5.94,10.67,15.62,18.73,20.86,4.73,4.95,5.24,2.13,9.68,10.19
5.95,10.71,15.61,18.72,20.86,4.76,4.9,5.25,2.14,9.66,10.15
5.98,10.67,15.58,18.7,20.86,4.69,4.91,5.28,2.16,9.6,10.19
5.97,10.6,15.54,18.69,20.86,4.63,4.94,5.32,2.17,9.57,10.26
5.86,10.52,15.46,18.64,20.86,4.66,4.94,5.4,2.22,9.6,10.34
5.9,10.6,15.5,18.66,20.86,4.7,4.9,5.36,2.2,9.6,10.26
5.56,10.83,15.64,18.72,20.86,5.27,4.81,5.22,2.14,10.08,10.03
5.93,10.7,15.65,18.74,20.86,4.77,4.95,5.21,2.12,9.72,10.16
5.87,10.58,15.5,18.67,20.87,4.71,4.92,5.37,2.2,9.63,10.29
,10.8,,,20.87,,,,,,10.07
5.89,10.57,15.52,18.68,20.87,4.68,4.95,5.35,2.19,9.63,10.3
5.99,10.69,15.56,18.69,20.87,4.7,4.87,5.31,2.18,9.57,10.18
5.91,10.6,15.53,18.68,20.87,4.69,4.93,5.34,2.19,9.62,10.27
