50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
5.83,10.32,14.89,17.81,19.83,4.49,4.57,4.94,2.02,9.06,9.51
5.8,10.4,15.1,17.93,19.83,4.6,4.7,4.73,1.9,9.3,9.43
5.96,10.48,15.04,17.89,19.83,4.52,4.56,4.79,1.94,9.08,9.35
,10.34,,,19.84,,,,,,9.5
5.67,10.14,14.85,17.81,19.84,4.47,4.71,4.99,2.03,9.18,9.7
,10.43,,,19.84,,,,,,9.41
,10.36,,,19.84,,,,,,9.48
5.78,10.21,14.86,17.81,19.84,4.43,4.65,4.98,2.03,9.08,9.63
5.86,10.39,14.99,17.87,19.85,4.53,4.6,4.86,1.98,9.13,9.46
,10.2,,,19.85,,,,,,9.65
5.75,10.29,14.93,17.85,19.85,4.54,4.64,4.92,2,9.18,9.56
5.89,10.42,15.06,17.92,19.85,4.53,4.64,4.79,1.93,9.17,9.43
,10.23,,,19.86,,,,,,9.63
5.77,10.3,14.94,17.86,19.86,4.53,4.64,4.92,2,9.17,9.56
5.78,10.29,14.92,17.85,19.86,4.51,4.63,4.94,2.01,9.14,9.57
5.8,10.3,14.9,17.83,19.86,4.5,4.6,4.96,2.03,9.1,9.56
,10.51,,,19.86,,,,,,9.35
5.82,10.42,15.01,17.89,19.86,4.6,4.59,4.85,1.97,9.19,9.44
5.98,10.48,15.02,17.89,19.86,4.5,4.54,4.84,1.97,9.04,9.38
5.63,10.15,14.83,17.81,19.87,4.52,4.68,5.04,2.06,9.2,9.72
5.82,10.31,14.92,17.85,19.87,4.49,4.61,4.95,2.02,9.1,9.56
6,10.4,15,17.89,19.87,4.4,4.6,4.87,1.98,9,9.47
5.8,10.4,15,17.89,19.87,4.6,4.6,4.87,1.98,9.2,9.47
5.76,10.22,14.88,17.83,19.87,4.46,4.66,4.99,2.04,9.12,9.65
5.9,10.37,14.96,17.87,19.87,4.47,4.59,4.91,2,9.06,9.5
5.92,10.36,14.93,17.85,19.87,4.44,4.57,4.94,2.02,9.01,9.51
5.83,10.33,14.94,17.86,19.88,4.5,4.61,4.94,2.02,9.11,9.55
6,10.2,14.9,17.85,19.88,4.2,4.7,4.98,2.03,8.9,9.68
5.81,10.34,14.99,17.9,19.89,4.53,4.65,4.9,1.99,9.18,9.55
5.73,10.15,14.8,17.8,19.89,4.42,4.65,5.09,2.09,9.07,9.74
,10.17,,,19.89,,,,,,9.72
5.8,10.4,15,17.9,19.89,4.6,4.6,4.89,1.99,9.2,9.49
5.8,10.28,14.97,17.89,19.89,4.48,4.69,4.92,2,9.17,9.61
5.84,10.34,14.97,17.89,19.89,4.5,4.63,4.92,2,9.13,9.55
5.82,10.33,14.98,17.89,19.89,4.51,4.65,4.91,2,9.16,9.56
5.65,10.27,14.9,17.85,19.89,4.62,4.63,4.99,2.04,9.25,9.62
5.68,10.27,15.03,17.93,19.89,4.59,4.76,4.86,1.96,9.35,9.62
5.74,10.25,14.94,17.88,19.9,4.51,4.69,4.96,2.02,9.2,9.65
5.76,10.39,15.12,17.98,19.9,4.63,4.73,4.78,1.92,9.36,9.51
5.97,10.54,15.18,18,19.9,4.57,4.64,4.72,1.9,9.21,9.36
5.97,10.54,15.18,18,19.9,4.57,4.64,4.72,1.9,9.21,9.36
,10.48,,,19.9,,,,,,9.42
5.69,10.15,14.85,17.84,19.91,4.46,4.7,5.06,2.07,9.16,9.76
,10.46,,,19.91,,,,,,9.45
5.69,10.23,15.01,17.94,19.91,4.54,4.78,4.9,1.97,9.32,9.68
5.8,10.3,15,17.93,19.92,4.5,4.7,4.92,1.99,9.2,9.62
,10.47,,,19.92,,,,,,9.45
,10.22,14.97,17.92,19.92,,4.75,4.95,2,,9.7
,10.43,,,19.93,,,,,,9.5
5.9,10.48,15.11,17.98,19.93,4.58,4.63,4.82,1.95,9.21,9.45
5.84,10.28,14.93,17.89,19.94,4.44,4.65,5.01,2.05,9.09,9.66
5.81,10.26,14.91,17.88,19.94,4.45,4.65,5.03,2.06,9.1,9.68
5.93,10.43,15,17.92,19.94,4.5,4.57,4.94,2.02,9.07,9.51
,10.5,,,19.95,,,,,,9.45
,10.2,,,19.95,,,,,,9.75
5.75,10.28,14.89,17.87,19.95,4.53,4.61,5.06,2.08,9.14,9.67
5.9,10.5,15.1,17.98,19.95,4.6,4.6,4.85,1.97,9.2,9.45
5.79,10.29,14.96,17.92,19.95,4.5,4.67,4.99,2.03,9.17,9.66
5.71,10.23,14.97,17.93,19.95,4.52,4.74,4.98,2.02,9.26,9.72
5.78,10.29,14.96,17.92,19.95,4.51,4.67,4.99,2.03,9.18,9.66
5.78,10.26,14.9,17.88,19.95,4.48,4.64,5.05,2.07,9.12,9.69
,10.22,14.92,17.9,19.95,,4.7,5.03,2.05,,9.73
,10.41,,,19.96,,,,,,9.55
,10.3,,,19.96,,,,,,9.66
5.85,10.37,15.06,17.97,19.96,4.52,4.69,4.9,1.99,9.21,9.59
,10.2,,,19.96,,,,,,9.76
5.86,10.37,15.07,17.98,19.96,4.51,4.7,4.89,1.98,9.21,9.59
,10.34,,,19.96,,,,,,9.62
5.82,10.4,15.05,17.96,19.96,4.58,4.65,4.91,2,9.23,9.56
5.8,10.34,15,17.94,19.96,4.54,4.66,4.96,2.02,9.2,9.62
5.84,10.38,15.03,17.95,19.96,4.54,4.65,4.93,2.01,9.19,9.58
,10.14,14.83,17.86,19.96,,4.69,5.13,2.1,,9.82
,10.43,,,19.97,,,,,,9.54
5.82,10.3,14.92,17.9,19.97,4.48,4.62,5.05,2.07,9.1,9.67
5.94,10.47,15.07,17.97,19.97,4.53,4.6,4.9,2,9.13,9.5
5.82,10.39,15.09,18,19.98,4.57,4.7,4.89,1.98,9.27,9.59
,10.26,,,19.98,,,,,,9.72
5.7,10.2,14.93,17.92,19.98,4.5,4.73,5.05,2.06,9.23,9.78
5.91,10.45,15.07,17.98,19.98,4.54,4.62,4.91,2,9.16,9.53
,10.5,,,19.98,,,,,,9.48
,10.35,,,19.98,,,,,,9.63
5.78,10.24,14.92,17.91,19.98,4.46,4.68,5.06,2.07,9.14,9.74
5.82,10.35,15.01,17.95,19.98,4.53,4.66,4.97,2.03,9.19,9.63
5.83,10.55,15.18,18.04,19.98,4.72,4.63,4.8,1.94,9.35,9.43
5.92,10.37,15.05,17.98,19.98,4.45,4.68,4.93,2,9.13,9.61
,10.31,,,19.99,,,,,,9.68
,10.35,14.94,17.91,19.99,,4.59,5.05,2.08,,9.64
5.72,10.25,14.87,17.88,19.99,4.53,4.62,5.12,2.11,9.15,9.74
5.82,10.39,15.1,18.01,19.99,4.57,4.71,4.89,1.98,9.28,9.6
,10.46,,,19.99,,,,,,9.53
5.85,10.38,15.05,17.98,19.99,4.53,4.67,4.94,2.01,9.2,9.61
5.82,10.31,14.98,17.95,19.99,4.49,4.67,5.01,2.04,9.16,9.68
,10.4,15.05,17.98,20,,4.65,4.95,2.02,,9.6
,10.41,15.07,18,20,,4.66,4.93,2,,9.59
5.88,10.32,14.99,17.96,20,4.44,4.67,5.01,2.04,9.11,9.68
5.87,10.41,15.03,17.97,20,4.54,4.62,4.97,2.03,9.16,9.59
5.76,10.25,14.92,17.92,20,4.49,4.67,5.08,2.08,9.16,9.75
,10.42,,,20,,,,,,9.58
,10.5,,,20,,,,,,9.5
5.8,10.4,15,17.95,20,4.6,4.6,5,2.05,9.2,9.6
5.83,10.37,15.14,18.05,20,4.54,4.77,4.86,1.95,9.31,9.63
5.82,10.34,15.02,17.97,20,4.52,4.68,4.98,2.03,9.2,9.66
5.86,10.36,14.98,17.94,20,4.5,4.62,5.02,2.06,9.12,9.64
,10.3,,,20,,,,,,9.7
,10.3,,,20,,,,,,9.7
,10.3,,,20,,,,,,9.7
,10.3,,,20.01,,,,,,9.71
,10.21,,,20.01,,,,,,9.8
5.79,10.32,14.96,17.94,20.01,4.53,4.64,5.05,2.07,9.17,9.69
5.85,10.41,15.04,17.98,20.01,4.56,4.63,4.97,2.03,9.19,9.6
5.86,10.44,15.09,18.01,20.01,4.58,4.65,4.92,2,9.23,9.57
5.9,10.4,15.1,18.02,20.01,4.5,4.7,4.91,1.99,9.2,9.61
5.9,10.5,15.1,18.01,20.01,4.6,4.6,4.91,2,9.2,9.51
5.79,10.29,14.97,17.95,20.01,4.5,4.68,5.04,2.06,9.18,9.72
,10.36,,,20.01,,,,,,9.65
,10.59,,,20.01,,,,,,9.42
5.75,10.36,15.03,17.98,20.01,4.61,4.67,4.98,2.03,9.28,9.65
5.75,10.3,14.98,17.96,20.01,4.55,4.68,5.03,2.05,9.23,9.71
,10.43,,,20.01,,,,,,9.58
5.75,10.31,15,17.97,20.01,4.56,4.69,5.01,2.04,9.25,9.7
